"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 12- 07","996.64","996.89","999.52","991.07","1.02B","0.48%"
"2021- 12- 08","1,006.04","1,006.61","1,012.64","1,003.92","1.07B","0.94%"
"2021- 12- 09","1,022.87","1,009.29","1,022.87","1,009.29","1.06B","1.67%"
"2021- 12- 10","1,011.57","1,016.34","1,018.42","1,010.02","1.15B","-1.10%"
"2021- 12- 13","1,005.96","1,014.27","1,014.90","1,005.96","1.34B","-0.55%"
"2021- 12- 14","1,002.81","1,001.11","1,007.73","996.85","1.08B","-0.31%"
"2021- 12- 15","1,003.52","1,002.18","1,007.44","999.21","1.13B","0.07%"
"2021- 12- 16","1,007.86","1,013.05","1,016.32","1,006.90","1.34B","0.43%"
"2021- 12- 17","1,001.26","1,001.51","1,005.36","995.93","1.10B","-0.65%"
"2021- 12- 20","990.51","1,001.17","1,004.75","990.51","1.01B","-1.07%"
"2021- 12- 21","996.60","994.53","997.30","982.43","1.37B","0.61%"
"2021- 12- 22","1,000.13","1,004.10","1,005.23","999.05","1.18B","0.35%"
"2021- 12- 23","1,003.31","1,004.45","1,007.42","1,001.48","1.44B","0.32%"
"2021- 12- 24","1,007.42","1,008.05","1,010.98","1,005.61","1.24B","0.41%"
"2021- 12- 27","1,011.36","1,008.90","1,013.70","1,006.87","1.15B","0.39%"
"2021- 12- 28","1,027.44","1,016.29","1,027.45","1,014.39","1.29B","1.59%"
"2021- 12- 29","1,028.05","1,028.46","1,034.05","1,022.73","950.94M","0.06%"
"2021- 12- 30","1,033.98","1,029.74","1,034.87","1,021.59","907.42M","0.58%"
"2022- 01- 03","1,037.83","1,038.97","1,039.67","1,030.57","1.05B","0.37%"
"2022- 01- 04","1,031.66","1,041.07","1,041.29","1,025.23","1.32B","-0.59%"
"2022- 01- 05","1,009.62","1,029.12","1,029.12","1,007.84","1.50B","-2.14%"
"2022- 01- 06","980.30","993.60","1,003.01","979.83","1.46B","-2.90%"
"2022- 01- 07","995.16","986.18","997.02","986.18","1.47B","1.52%"
"2022- 01- 10","980.38","992.49","992.49","976.41","1.27B","-1.49%"
"2022- 01- 11","969.92","982.44","985.13","962.91","1.28B","-1.07%"
